country_name,country_url
Afghanistan,afghanistan
Albania,albania
Algeria,algeria
American Samoa  (USA),american-samoa-usa
Andorra,andorra
Angola,angola
Anguilla (United Kingdom),anguilla-united-kingdom
Antigua and Barbuda,antigua-and-barbuda
Argentina,argentina
Armenia,armenia
Aruba  (Netherlands),aruba-netherlands
Australia,australia
Austria,austria
Azerbaijan,azerbaijan
Bahamas,bahamas
Bahrain,bahrain
Bangladesh,bangladesh
Barbados,barbados
Belarus,belarus
Belgium,belgium
Belize,belize
Benin,benin
Bermuda (United Kingdom),bermuda-united-kingdom
Bhutan,bhutan
Bolivia,bolivia
Bosnia and Herzegovina: Federation,bosnia-and-herzegovina-federation
Bosnia and Herzegovina: Republika Srpska,bosnia-and-herzegovina-republika-srpska
Botswana,botswana
Brazil,brazil
Brunei Darussalam,brunei-darussalam
Bulgaria,bulgaria
Burkina Faso,burkina-faso
Burundi,burundi
Cambodia,cambodia
Cameroon,cameroon
Canada,canada
Cape Verde  (Cabo Verde),cape-verde-cabo-verde
Cayman Islands  (United Kingdom),cayman-islands-united-kingdom
Central African Republic,central-african-republic
Chad,chad
Chile,chile
China,china
Colombia,colombia
Comoros,comoros
Congo (Republic of),congo-brazzaville
Cook Islands  (New Zealand),cook-islands-new-zealand
Costa Rica,costa-rica
Croatia,croatia
Cuba,cuba
Curaçao (Netherlands),cura§ao-netherlands
Cyprus (Republic of),cyprus-republic
Czech Republic,czech-republic
Democratic People's Republic of (North) Korea,democratic-peoples-republic-north-korea
Democratic Republic of Congo ,democratic-republic-congo-formerly-zaire
Denmark,denmark
Djibouti,djibouti
Dominica,dominica
Dominican Republic,Dominican Republic
Ecuador,ecuador
Egypt,egypt
El Salvador,el-salvador
Equatorial Guinea,equatorial-guinea
Eritrea,eritrea
Estonia,estonia
Ethiopia,ethiopia
Faeroe Islands  (Denmark),faeroe-islands-denmark
Fiji,fiji
Finland,finland
France,france
French Guiana/Guyane (France),french-guianaguyane-france
French Polynesia  (France),french-polynesia-france
Gabon,gabon
Gambia,gambia
Georgia,georgia
Germany,germany
Ghana,ghana
Gibraltar  (United Kingdom),gibraltar-united-kingdom
Greece,greece
Greenland (Denmark),greenland-denmark
Grenada,grenada
Guadeloupe  (France),guadeloupe-france
Guam  (USA),guam-usa
Guatemala,guatemala
Guernsey  (United Kingdom),guernsey-united-kingdom
Guinea (Republic of),republic-guinea
Guinea Bissau,guinea-bissau
Guyana,guyana
Haiti,haiti
Honduras,honduras
Hong Kong  (China),hong-kong-china
Hungary,hungary
Iceland,iceland
India,india
Indonesia,indonesia
Iran,iran
Iraq,iraq
"Ireland, Republic of",ireland-republic
Isle of Man  (United Kingdom),isle-man-united-kingdom
Israel,israel
Italy,italy
Jamaica,jamaica
Japan,japan
Jersey  (United Kingdom),jersey-united-kingdom)
Jordan,jordan
Kazakhstan,kazakhstan
Kenya,kenya
Kiribati,kiribati
Kosovo/Kosova,kosovokosova
Kuwait,kuwait
Kyrgyzstan,kyrgyzstan
Laos,laos
Latvia,latvia
Lebanon,lebanon
Lesotho,lesotho
Liberia,liberia
Libya,libya
Liechtenstein,liechtenstein
Lithuania,lithuania
Luxembourg,luxembourg
Macau  (China),macau-china
Madagascar,madagascar
Malawi,malawi
Malaysia,malaysia
Maldives,maldives
Mali,mali
Malta,malta
Marshall Islands,marshall-islands
Martinique  (France),martinique-france
Mauritania,mauritania
Mauritius,mauritius
Mayotte (France),mayotte-france
Mexico,mexico
"Micronesia, Federated States of",micronesia-federated-states
Moldova (Republic of),moldova-republic
Monaco,monaco
Mongolia,mongolia
Montenegro,montenegro
Morocco,morocco
Mozambique,mozambique
Myanmar (formerly Burma),myanmar-formerly-burma
Namibia,namibia
Nauru,nauru
Nepal,nepal
Netherlands,netherlands
New Caledonia  (France),new-caledonia-france
New Zealand,new-zealand
Nicaragua,nicaragua
Niger,niger
Nigeria,nigeria
North Macedonia,north-macedonia
Northern Mariana Islands  (USA),northern-mariana-islands-usa
Norway,norway
Oman,oman
Pakistan,pakistan
Palau,palau
Panama,panama
Papua New Guinea,papua-new-guinea
Paraguay,paraguay
Peru,peru
Philippines,philippines
Poland,poland
Portugal,portugal
Puerto Rico  (USA),puerto-rico-usa
Qatar,qatar
Republic of (South) Korea,republic-south-korea
Reunion (France),reunion-france
Romania,romania
Russian Federation,russian-federation
Rwanda,rwanda
Samoa,samoa-formerly-western-samoa
San Marino,san-marino
Sao Tome e Principe,sao-tome-e-principe
Saudi Arabia,saudi-arabia
Senegal,senegal
Serbia,serbia
Seychelles,seychelles
Sierra Leone,sierra-leone
Singapore,singapore
Sint Maarten (Netherlands) ,sint-maarten-netherlands
Slovakia,slovakia
Slovenia,slovenia
Solomon Islands,solomon-islands
Somalia,somalia
South Africa,south-africa
South Sudan,south-sudan
Spain,spain
Sri Lanka,sri-lanka
St. Kitts and Nevis,st-kitts-and-nevis
St. Lucia,st-lucia
St. Vincent and the Grenadines,st-vincent-and-grenadines
Sudan,sudan
Suriname,suriname
Swaziland,swaziland
Sweden,sweden
Switzerland,switzerland
Syria,syria
Taiwan,taiwan
Tajikistan,tajikistan
Tanzania,tanzania
Thailand,thailand
Timor-Leste (formerly East Timor),timor-leste-formerly-east-timor
Togo,togo
Tonga,tonga
Trinidad and Tobago,trinidad-and-tobago
Tunisia,tunisia
Turkey,turkey
Turkmenistan,turkmenistan
Tuvalu,tuvalu
Uganda,uganda
Ukraine,ukraine
United Arab Emirates,united-arab-emirates
United Kingdom: England & Wales,united-kingdom-england-wales
United Kingdom: Northern Ireland,united-kingdom-northern-ireland
United Kingdom: Scotland,united-kingdom-scotland
United States of America,united-states-america
Uruguay,uruguay
Uzbekistan,uzbekistan
Vanuatu,vanuatu
Venezuela,venezuela
Vietnam,vietnam
Virgin Islands (United Kingdom),virgin-islands-united-kingdom
Virgin Islands (USA),virgin-islands-usa
Yemen,yemen
Zambia,zambia
Zimbabwe,zimbabwe
